"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"EPAN",1,6,16,"Yes","Unavg",0,1,0.212234144725606,-3.37745934178727,-13.8182137357705,-11.2232141994916,NA,NA,NA,2.53966190582146,-0.110448029091138,NA,NA,NA,NA
"EPAN",1,6,16,"Yes","Avg",NA,NA,NA,-3.37745934178727,-13.8182137357705,-11.2232141994916,NA,NA,NA,2.53966190582146,-0.110448029091138,NA,NA,NA,NA
"PAMY",1,67,61,"Yes","Unavg",0,1,0.0691288623626998,-0.0109435389571696,-7.30746043674903,-7.99156831739667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",1,67,61,"Yes","Avg",NA,NA,NA,-0.0109435389571696,-7.30746043674903,-7.99156831739667,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",1,23,42,"Yes","Unavg",0,0.664444816698403,0.174078963679466,-1.87471179838675,11.7407112338794,-15.5198728985532,NA,NA,NA,-1.43548655262439,1.233250470985,28.7320436404723,-4.37498285078948,NA,NA
"VAME",1,23,42,"Yes","Unavg",1.36633081238151,0.335555183301597,0.155504887828017,-1.83071403535896,10.8985568841875,-14.3821850252903,NA,NA,NA,-0.129004886811525,1.17572633309523,NA,NA,NA,NA
"VAME",1,23,42,"Yes","Avg",NA,NA,NA,-1.8599481209491,11.4581219767003,-15.1381158357005,NA,NA,NA,-0.997089857772379,1.21394794835113,19.0908574700641,-2.90693467835147,NA,NA
"ACMI",10,5,14,"Yes","Unavg",0,0.516002361722685,0.159433793960177,-3.31440675961293,-8.26094135831758,NA,NA,NA,NA,2.15522182690141,-0.456046461763319,6.23986923736819,33.2406132472313,NA,NA
"ACMI",10,5,14,"Yes","Unavg",0.128062630681271,0.483997638277315,0.17329261202063,-3.44617127234205,-12.0214963518415,-6.69974697986255,NA,NA,NA,2.36457161843557,-0.770871406953633,7.97653549233,46.5545781485229,NA,NA
"ACMI",10,5,14,"Yes","Avg",NA,NA,NA,-3.37818047258258,-10.0810410937951,-3.24266171530905,NA,NA,NA,2.25654663157779,-0.608420991706216,7.08041160324561,39.6845408155635,NA,NA
"ARUV",10,27,19,"Yes","Unavg",0,0.394075260038417,0.0553301470388,-1.66809236617498,-10.92096975185,-4.72195278476639,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",10,27,19,"Yes","Unavg",0.490369759749967,0.308387474532421,0.0449672059204255,-1.60662157114939,-8.93633065679759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",10,27,19,"Yes","Unavg",0.562004854589873,0.297537265429162,0.0862811756677292,-1.66883209236222,-18.1176551983072,-6.37953015189961,NA,NA,NA,-0.452883970533771,-0.126142040656459,4.46464111999878,17.9620686089097,NA,NA
"ARUV",10,27,19,"Yes","Avg",NA,NA,NA,-1.64935563904646,-12.4502140213612,-3.75895272766504,NA,NA,NA,-0.134749858149319,-0.0375319578325769,1.32839710996703,5.34438477534597,NA,NA
"CARU",10,28,18,"Yes","Unavg",0,0.419292653059268,0.0871420809156482,-1.8196891353469,-12.0268302019128,-12.9466666673357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",10,28,18,"Yes","Unavg",0.470772760302793,0.331352496207572,0.135117568313687,-1.56147830565185,-14.096770864305,-11.0822913539725,NA,NA,NA,-0.276803223662591,-2.6138638078839,10.8246570685341,-11.6348713776013,7.57974375128929,-42.7192374426712
"CARU",10,28,18,"Yes","Unavg",1.03938429357859,0.24935485073316,0.0994618122003954,-1.56249460175057,-12.1487808438763,-13.2628900308935,NA,NA,NA,-0.446831917908867,-0.626298846805722,NA,NA,NA,NA
"CARU",10,28,18,"Yes","Avg",NA,NA,NA,-1.66999762784532,-12.7431191915216,-12.4077530830033,NA,NA,NA,-0.203139145311879,-1.02228095294855,3.58677714024972,-3.85524367402221,2.51156701260345,-14.1551259627131
"EPAN",10,6,16,"Yes","Unavg",0,1,0.186918413892245,-3.39620225716203,-12.4644313866445,-13.3659069744724,NA,NA,NA,2.47352492943776,0.107451536640034,NA,NA,NA,NA
"EPAN",10,6,16,"Yes","Avg",NA,NA,NA,-3.39620225716203,-12.4644313866445,-13.3659069744724,NA,NA,NA,2.47352492943776,0.107451536640034,NA,NA,NA,NA
"PAMY",10,67,65,"Yes","Unavg",0,1,0.0858324861397337,0.0487817372865064,-9.13155172923224,-8.12367401592014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",10,67,65,"Yes","Avg",NA,NA,NA,0.0487817372865064,-9.13155172923224,-8.12367401592014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",10,23,43,"Yes","Unavg",0,1,0.173205090473305,-1.9028544208318,12.1217229106607,-16.3200437301525,NA,NA,NA,-0.617483565168917,1.19890916568921,23.5920562363559,-5.80818393778843,NA,NA
"VAME",10,23,43,"Yes","Avg",NA,NA,NA,-1.9028544208318,12.1217229106607,-16.3200437301525,NA,NA,NA,-0.617483565168917,1.19890916568921,23.5920562363559,-5.80818393778843,NA,NA
"ACMI",100,5,14,"Yes","Unavg",0,0.37242939015009,0.0980873664333881,-3.19458313229913,NA,NA,NA,NA,NA,2.05960319946015,0.361369788242922,NA,NA,NA,NA
"ACMI",100,5,14,"Yes","Unavg",0.647938099953095,0.269367983511824,0.137711155848963,-3.31440675897302,-8.26094134932656,NA,NA,NA,NA,2.16853857123354,-0.0292359561994326,7.23929030944524,25.8683068345251,NA,NA
"ACMI",100,5,14,"Yes","Unavg",1.08511707232161,0.216478000302111,0.149281442674786,-3.4206630161391,-11.4613463095257,-5.8291049370346,NA,NA,NA,2.35218701778939,-0.189064428012399,8.92359020321529,35.4537011824876,NA,NA
"ACMI",100,5,14,"Yes","Unavg",1.93232308332018,0.141724626035975,0.0985884099461309,-3.19633597367672,0.982728595667183,NA,NA,NA,NA,2.06923240780477,0.357902979042863,NA,NA,NA,NA
"ACMI",100,5,14,"Yes","Avg",NA,NA,NA,-3.2760495229443,-4.56708560031787,-1.26187298032041,NA,NA,NA,2.15364955675219,0.136504875844122,3.88179399541951,14.6430399841747,NA,NA
"ARUV",100,27,19,"Yes","Unavg",0,0.394135336105732,0.0889850221457695,-1.68997269958401,-18.624490085003,-7.0198851764024,NA,NA,NA,-0.442054749333164,-0.121789987525666,4.46096252043406,19.3628513952999,NA,NA
"ARUV",100,27,19,"Yes","Unavg",0.143193656212247,0.36690300254013,0.0550995173750558,-1.66953078697543,-10.8576288523694,-5.07424034395227,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",100,27,19,"Yes","Unavg",1.00078243330432,0.238961661354138,0.0432085023474295,-1.60257547575673,-8.74494269133088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",100,27,19,"Yes","Avg",NA,NA,NA,-1.66158791466675,-13.4139723198184,-4.62853882123135,NA,NA,NA,-0.174229397205561,-0.0480017376677412,1.75822296234635,7.63158394265188,NA,NA
"CARU",100,28,15,"Yes","Unavg",0,0.694249147973926,0.104522996407285,-1.55201376920917,-12.6617469123282,-12.2700476298981,NA,NA,NA,-0.472844112308189,-0.92947827737054,NA,NA,NA,NA
"CARU",100,28,15,"Yes","Unavg",1.64012067537189,0.305750852026074,0.0801088411735631,-1.88687321069207,-12.4341196824226,-11.6143407580253,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",100,28,15,"Yes","Avg",NA,NA,NA,-1.65439732875154,-12.5921496928402,-12.0695646951437,NA,NA,NA,-0.328271622094447,-0.64528950212477,NA,NA,NA,NA
"CEVE",100,23,19,"Yes","Unavg",0,0.40807760899509,0.13558614838202,-1.94534328406504,-12.1278248970917,-17.6815934568253,NA,NA,NA,0.885081297464133,-0.836843847976732,NA,NA,NA,NA
"CEVE",100,23,19,"Yes","Unavg",0.154636710583446,0.37771465105189,0.152465918890183,-2.1653713012467,-20.0787742076214,-19.4962267792372,NA,NA,NA,1.1175985784682,-0.595252582346986,8.95193528654349,22.2806825358823,NA,NA
"CEVE",100,23,19,"Yes","Unavg",1.28902216568986,0.214207739953021,0.165044942571973,-1.8834950821563,-15.1698170138127,-12.6645779168048,NA,NA,NA,0.563995160589192,-1.25923669057993,-2.3950662444016,17.9933356805641,-19.3935161315833,-15.2325526768966
"CEVE",100,23,19,"Yes","Avg",NA,NA,NA,-2.01520272624542,-15.7826331977274,-17.2923234888503,NA,NA,NA,0.904127345411889,-0.836071103568571,2.86823538574484,12.2700519995884,-4.1542412602889,-3.26293068263335
"EPAN",100,6,16,"Yes","Unavg",0,1,0.190594447492679,-3.42184443371277,-12.6012959788018,-14.1891746964733,NA,NA,NA,2.50032760802231,0.1025341325675,NA,NA,NA,NA
"EPAN",100,6,16,"Yes","Avg",NA,NA,NA,-3.42184443371277,-12.6012959788018,-14.1891746964733,NA,NA,NA,2.50032760802231,0.1025341325675,NA,NA,NA,NA
"PAMY",100,67,60,"Yes","Unavg",0,1,0.0753035159261765,-0.033057597244939,-8.94823879386858,-7.0626225760195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",100,67,60,"Yes","Avg",NA,NA,NA,-0.033057597244939,-8.94823879386858,-7.0626225760195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",100,23,44,"Yes","Unavg",0,0.715975373594448,0.180357401074752,-1.91541452070187,12.2897736132007,-16.6699555864368,NA,NA,NA,-0.628549828764673,1.2500726440918,23.8837043926101,-5.0678435903485,NA,NA
"VAME",100,23,44,"Yes","Unavg",1.849169649701,0.284024626405552,0.160401337358836,-1.87519893773556,11.600598437318,-15.6332019206948,NA,NA,NA,0.332245514979357,1.18685195172824,NA,NA,NA,NA
"VAME",100,23,44,"Yes","Avg",NA,NA,NA,-1.90399230477419,12.0940308913426,-16.3754920138498,NA,NA,NA,-0.355660290205581,1.23211641056214,17.1001441753184,-3.628451207918,NA,NA
"ACMI",11,5,17,"Yes","Unavg",0,0.531683302759143,0.101215461956136,-3.19458313229914,NA,NA,NA,NA,NA,2.20133135928886,0.721652673557853,NA,NA,NA,NA
"ACMI",11,5,17,"Yes","Unavg",1.34033349353462,0.272021544192681,0.132347607528616,-3.31440675897302,-8.26094134932657,NA,NA,NA,NA,2.27287985853414,0.585642492577364,4.69303845075056,20.4844374244082,NA,NA
"ACMI",11,5,17,"Yes","Unavg",1.99285721418528,0.196295153048176,0.101263184308684,-3.19474868099829,-0.302195473498535,NA,NA,NA,NA,2.19857581601657,0.72284399781298,NA,NA,NA,NA
"ACMI",11,5,17,"Yes","Avg",NA,NA,NA,-3.22721023666498,-2.30647352904984,NA,NA,NA,NA,2.22025319274986,0.684888825278604,1.27660756632879,5.57220830010586,NA,NA
"ARUV",11,27,20,"Yes","Unavg",0,0.472912727698439,0.0585671977782406,-1.65164228137053,-11.2861485732008,-5.03741474498497,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",11,27,20,"Yes","Unavg",0.835530277726861,0.311421009361937,0.0469130414170214,-1.58307346635855,-9.12187003749752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",11,27,20,"Yes","Unavg",1.57035745919126,0.215666262939624,0.0849933164149995,-1.66981838033915,-18.1415123549191,-6.4101283538964,NA,NA,NA,-0.452360215899452,-0.042402140067248,4.46439061759753,16.5489183930581,NA,NA
"ARUV",11,27,20,"Yes","Avg",NA,NA,NA,-1.63420848312813,-12.0906174549665,-3.76470597464734,NA,NA,NA,-0.0975588372655961,-0.00914471108894586,0.962818440799978,3.56904338552363,NA,NA
"CARU",11,28,15,"Yes","Unavg",0,0.63808553683405,0.104570030140849,-1.55289757122591,-12.2986442601023,-12.6726603857887,NA,NA,NA,-0.728489127730586,-0.822023943714671,NA,NA,NA,NA
"CARU",11,28,15,"Yes","Unavg",1.13412890064563,0.36191446316595,0.0823461404078445,-1.89575658740518,-12.0968433641165,-12.3692350693627,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",11,28,15,"Yes","Avg",NA,NA,NA,-1.67698320800803,-12.2256095971652,-12.5628463752834,NA,NA,NA,-0.46483837614574,-0.524521589415619,NA,NA,NA,NA
"EPAN",11,6,16,"Yes","Unavg",0,1,0.21061906330915,-3.86316540122367,-23.8308183775145,-19.3113941037139,NA,NA,NA,2.43453030061467,0.31046353504733,NA,NA,NA,NA
"EPAN",11,6,16,"Yes","Avg",NA,NA,NA,-3.86316540122367,-23.8308183775145,-19.3113941037139,NA,NA,NA,2.43453030061467,0.31046353504733,NA,NA,NA,NA
"PAMY",11,67,65,"Yes","Unavg",0,1,0.074526779051441,0.0555863644325589,-8.45618163658826,-7.3580149149793,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",11,67,65,"Yes","Avg",NA,NA,NA,0.0555863644325589,-8.45618163658826,-7.3580149149793,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",11,23,44,"Yes","Unavg",0,0.677926892916048,0.186564848049133,-1.92568500534993,12.4263270191147,-16.9530282685122,NA,NA,NA,-0.939745965724542,1.30688465799779,25.2081033347875,-5.13657395069959,NA,NA
"VAME",11,23,44,"Yes","Unavg",1.48852178832232,0.322073107083952,0.167839234487975,-1.87758469186827,11.3674236410641,-15.874791170997,NA,NA,NA,0.123029941146954,1.24057856852735,NA,NA,NA,NA
"VAME",11,23,44,"Yes","Avg",NA,NA,NA,-1.91019318793518,12.0852827180442,-16.6057570963423,NA,NA,NA,-0.597454427264474,1.28552924974346,17.0892511700592,-3.48222161863128,NA,NA
"ACMI",12,5,14,"Yes","Unavg",0,0.354273947538664,0.125971728828827,-3.19458313229914,NA,NA,NA,NA,NA,2.20133135928886,0.126530197165523,NA,NA,NA,NA
"ACMI",12,5,14,"Yes","Unavg",0.02583992640389,0.349726182910177,0.170201198725098,-3.31440675961292,-8.26094135831757,NA,NA,NA,NA,2.27287985917404,-0.450961434995269,4.69303845974157,29.0308975767646,NA,NA
"ACMI",12,5,14,"Yes","Unavg",1.54783477685685,0.163392141646586,0.173740091910367,-3.35664370082022,-9.86008434971541,-3.13632470348853,NA,NA,NA,2.36247619856401,-0.566015767104815,5.30503048505416,34.4039503489427,NA,NA
"ACMI",12,5,14,"Yes","Unavg",1.96535024216561,0.132607727904572,0.126228257010558,-3.19549071981735,-0.707789467930164,NA,NA,NA,NA,2.19505811719939,0.129373159163295,NA,NA,NA,NA
"ACMI",12,5,14,"Yes","Avg",NA,NA,NA,-3.26308836858783,-4.59398614038222,-0.512450810202086,NA,NA,NA,2.25185166307104,-0.188213316572426,2.50807871922951,15.7742001245948,NA,NA
"ARUV",12,27,20,"Yes","Unavg",0,0.472912727698439,0.0585671977782406,-1.65164228137053,-11.2861485732008,-5.03741474498497,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",12,27,20,"Yes","Unavg",0.835530277726861,0.311421009361937,0.0469130414170214,-1.58307346635855,-9.12187003749752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",12,27,20,"Yes","Unavg",1.57035745919126,0.215666262939624,0.0849933164149995,-1.66981838033915,-18.1415123549191,-6.4101283538964,NA,NA,NA,-0.452360215899452,-0.042402140067248,4.46439061759753,16.5489183930581,NA,NA
"ARUV",12,27,20,"Yes","Avg",NA,NA,NA,-1.63420848312813,-12.0906174549665,-3.76470597464734,NA,NA,NA,-0.0975588372655961,-0.00914471108894586,0.962818440799978,3.56904338552363,NA,NA
"CARU",12,28,15,"Yes","Unavg",0,0.394957724300085,0.101882892770275,-1.5322294587815,-10.9120607782804,-12.9095258951465,NA,NA,NA,-0.440875787318572,-0.938995780385938,NA,NA,NA,NA
"CARU",12,28,15,"Yes","Unavg",0.730035556536052,0.274173455075009,0.116037451533544,-1.64851269595754,-15.7509677995884,-13.683845724803,NA,NA,NA,-0.182644927644477,-0.834528925361152,18.4555604202699,5.75578464208351,NA,NA
"CARU",12,28,15,"Yes","Unavg",1.73311899604769,0.166038424433366,0.0770661795828959,-1.86520028634218,-10.7131167133277,-12.2055846297763,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",12,28,15,"Yes","Unavg",1.74772337741445,0.16483039619154,0.128946861932231,-1.56147830565185,-14.0967708643049,-11.0822913539724,NA,NA,NA,-0.22874938504156,-2.24291420493364,16.9846074490739,-9.501154707236,1.01425112600456,-28.8336604547848
"CARU",12,28,15,"Yes","Avg",NA,NA,NA,-1.6242182862936,-12.7306653012386,-12.7037587462242,NA,NA,NA,-0.261908540287534,-0.969369752397759,7.85960434075961,0.012004267316881,0.167179414937047,-4.75266367641453
"EPAN",12,6,15,"Yes","Unavg",0,1,0.254470118587721,-4.23029105246093,-25.752869029148,-29.0698945594645,NA,NA,NA,2.74294720933584,0.0667806412857756,NA,NA,NA,NA
"EPAN",12,6,15,"Yes","Avg",NA,NA,NA,-4.23029105246093,-25.752869029148,-29.0698945594645,NA,NA,NA,2.74294720933584,0.0667806412857756,NA,NA,NA,NA
"PAMY",12,67,63,"Yes","Unavg",0,1,0.0843467645483755,0.0140849682474251,-9.52127464378896,-7.5076781732833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",12,67,63,"Yes","Avg",NA,NA,NA,0.0140849682474251,-9.52127464378896,-7.5076781732833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",12,23,40,"Yes","Unavg",0,0.500686511424569,0.158133377284736,-1.86154249882974,11.5601505970654,-15.1370670582776,NA,NA,NA,-0.921724369598421,1.13519942070975,19.7382388254569,-5.76169384422597,NA,NA
"VAME",12,23,40,"Yes","Unavg",0.00549209484776725,0.499313488575432,0.144057405407631,-1.81598749937126,9.9079936875426,-14.447996498697,NA,NA,NA,-0.122952015363439,1.06620123345584,NA,NA,NA,NA
"VAME",12,23,40,"Yes","Avg",NA,NA,NA,-1.83879627312807,10.7352063668976,-14.7930048332988,NA,NA,NA,-0.522886558827742,1.10074769512662,9.88266993918297,-2.88480239076191,NA,NA
"ACMI",13,5,13,"Yes","Unavg",0,0.459326330964372,0.160727168026813,-3.31440675961293,-8.26094135831759,NA,NA,NA,NA,2.06631695251813,-0.450961434995266,1.86987291155699,29.0308975767646,NA,NA
"ACMI",13,5,13,"Yes","Unavg",0.83820497547768,0.302069894825263,0.108119040523908,-3.19458313229914,NA,NA,NA,NA,NA,2.05960319946015,0.126530197165524,NA,NA,NA,NA
"ACMI",13,5,13,"Yes","Unavg",1.30991318093326,0.238603774210365,0.16603618925325,-3.37462111271799,-10.3522265906808,-4.00147895501932,NA,NA,NA,2.16685002532597,-0.597678820026864,2.23992446673138,36.0077439312924,NA,NA
"ACMI",13,5,13,"Yes","Avg",NA,NA,NA,-3.29257902102517,-6.2645482204452,-0.954767981090956,NA,NA,NA,2.08827650044294,-0.311525920216801,1.39333629554339,21.9262392713445,NA,NA
"ARUV",13,27,21,"Yes","Unavg",0,0.526942451991938,0.0576543722078463,-1.62209366960475,-11.0610551333748,-5.37282750909093,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",13,27,21,"Yes","Unavg",1.27728351999016,0.27823040998966,0.0443453650045837,-1.54975181759265,-8.82534115206392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",13,27,21,"Yes","Unavg",1.98995729921512,0.194827138018402,0.0820610801135759,-1.68575703753866,-18.5241494062981,-6.89467542877456,NA,NA,NA,-0.0703135860827671,-0.0377108179870647,8.33563347521986,16.9632412289306,NA,NA
"ARUV",13,27,21,"Yes","Avg",NA,NA,NA,-1.61436931823119,-11.8930248136902,-4.17444078312406,NA,NA,NA,-0.013698994740316,-0.00734709074075268,1.62400761354747,3.3048997401483,NA,NA
"CARU",13,28,16,"Yes","Unavg",0,0.407759088262363,0.100318302324796,-1.54458953396258,-11.8061283282522,-12.7288045990547,NA,NA,NA,-0.453717775267951,-0.823427788502051,NA,NA,NA,NA
"CARU",13,28,16,"Yes","Unavg",0.628933417171936,0.297736784135982,0.0805510617154649,-1.85254999141243,-11.6282691036032,-12.178129420708,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",13,28,16,"Yes","Unavg",0.650767022888402,0.294504127601655,0.114620753483344,-1.63969739874656,-15.5872571330048,-13.4350491258532,NA,NA,NA,-0.187833488375466,-0.806362149134916,18.3031705666725,0.842786764659687,NA,NA
"CARU",13,28,16,"Yes","Avg",NA,NA,NA,-1.66429034895101,-12.8667311346694,-12.7728402705885,NA,NA,NA,-0.240325284000079,-0.573237145551464,5.39035928008217,0.248204180880323,NA,NA
"EPAN",13,6,16,"Yes","Unavg",0,1,0.180918430116398,-3.35495789545651,-12.5278341750649,-11.6686395603299,NA,NA,NA,2.41722877543117,0.119765486298557,NA,NA,NA,NA
"EPAN",13,6,16,"Yes","Avg",NA,NA,NA,-3.35495789545651,-12.5278341750649,-11.6686395603299,NA,NA,NA,2.41722877543117,0.119765486298557,NA,NA,NA,NA
"PAMY",13,67,66,"Yes","Unavg",0,1,0.0901034994602347,0.0680506211167266,-10.7347138249968,-6.17632359218068,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",13,67,66,"Yes","Avg",NA,NA,NA,0.0680506211167266,-10.7347138249968,-6.17632359218068,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",13,23,43,"Yes","Unavg",0,0.726776486906095,0.178471377553617,-1.90653172374468,12.1710470158321,-16.4229274015392,NA,NA,NA,-0.9910959653635,1.25169929328975,25.9693017275474,-5.61141533690104,NA,NA
"VAME",13,23,43,"Yes","Unavg",1.95665758995082,0.273223513093905,0.15800381789034,-1.85416272998562,10.9395160511242,-15.2681581173491,NA,NA,NA,0.118125853205521,1.18127943654934,NA,NA,NA,NA
"VAME",13,23,43,"Yes","Avg",NA,NA,NA,-1.89222328329264,11.8345637991707,-16.1074172808998,NA,NA,NA,-0.688030483293662,1.23245893263956,18.8738778769513,-4.07824472512392,NA,NA
"ACMI",14,5,14,"Yes","Unavg",0,0.423742722324814,0.147195712758661,-3.31440675897303,-8.26094134932655,NA,NA,NA,NA,2.16853857123353,-0.210158633137142,7.23929030944523,29.1967395511925,NA,NA
"ACMI",14,5,14,"Yes","Unavg",0.633159352459458,0.308754606559833,0.0980873664333881,-3.19458313229915,NA,NA,NA,NA,NA,2.05960319946016,0.361369788242926,NA,NA,NA,NA
"ACMI",14,5,14,"Yes","Unavg",0.91999386465659,0.267502671115354,0.15519149764934,-3.39411151603424,-10.8418178456987,-4.82713412755754,NA,NA,NA,2.31803504778545,-0.384531934691505,8.59381921697619,37.6813992591811,NA,NA
"ACMI",14,5,14,"Yes","Avg",NA,NA,NA,-3.29873189767724,-6.40072900979977,-1.29127127295373,NA,NA,NA,2.17489498018117,-0.0803419241931718,5.36646617904755,22.4517808536259,NA,NA
"ARUV",14,27,20,"Yes","Unavg",0,0.472912727698439,0.0585671977782406,-1.65164228137053,-11.2861485732008,-5.03741474498497,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",14,27,20,"Yes","Unavg",0.835530277726861,0.311421009361937,0.0469130414170214,-1.58307346635855,-9.12187003749752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",14,27,20,"Yes","Unavg",1.57035745919126,0.215666262939624,0.0849933164149995,-1.66981838033915,-18.1415123549191,-6.4101283538964,NA,NA,NA,-0.452360215899452,-0.042402140067248,4.46439061759753,16.5489183930581,NA,NA
"ARUV",14,27,20,"Yes","Avg",NA,NA,NA,-1.63420848312813,-12.0906174549665,-3.76470597464734,NA,NA,NA,-0.0975588372655961,-0.00914471108894586,0.962818440799978,3.56904338552363,NA,NA
