"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"ACMI",59,5,14,"Yes","Avg",NA,NA,NA,NA,-3.37525823429364,-10.0085738512121,-3.1219263147966,0,0,0,1.93175640510996,0.132735749459243,7.32880717516799,33.6840124163111,0,0
"ARUV",59,27,20,"Yes","Unavg","Mod.1",0.835530277726861,0.311421009361937,0.0469130414170214,-1.58307346635855,-9.12187003749752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",59,27,20,"Yes","Unavg","Mod.15",1.57035745919126,0.215666262939624,0.0849933164149995,-1.66981838033915,-18.1415123549191,-6.41012835389641,NA,NA,NA,-0.452360215899452,-0.0424021400672477,4.46439061759753,16.5489183930581,NA,NA
"ARUV",59,27,20,"Yes","Unavg","Mod.3",0,0.472912727698439,0.0585671977782406,-1.65164228137053,-11.2861485732008,-5.03741474498498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",59,27,20,"Yes","Avg",NA,NA,NA,NA,-1.63420848312813,-12.0906174549665,-3.76470597464734,0,0,0,-0.0975588372655961,-0.00914471108894579,0.962818440799977,3.56904338552363,0,0
"CARU",59,28,16,"Yes","Unavg","Mod.3",0.572093537607003,0.428971957793058,0.0830096880012616,-1.86952223739878,-12.915227204724,-11.6987092002748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",59,28,16,"Yes","Unavg","Mod.7",0,0.571028042206942,0.102534201512511,-1.56012905799587,-13.1101708358905,-12.2095114620514,NA,NA,NA,-0.479551371981628,-0.815610493495181,NA,NA,NA,NA
"CARU",59,28,16,"Yes","Avg",NA,NA,NA,NA,-1.69285005589216,-13.0265454847697,-11.990391615772,0,0,0,-0.273837281080322,-0.465736463303991,0,0,0,0
"CEVE",59,23,17,"Yes","Unavg","Mod.15",0,0.680946545039157,0.165785605389374,-2.26224699975259,-21.6783346302072,-21.5681886585163,NA,NA,NA,1.03055082450053,-0.749444679696842,10.9669553974857,29.0026743113371,NA,NA
"CEVE",59,23,17,"Yes","Unavg","Mod.7",1.51625029821795,0.319053454960843,0.140849762203554,-1.9721849445468,-11.8196656682402,-18.739694647253,NA,NA,NA,0.746342422327636,-0.982017515623008,NA,NA,NA,NA
"CEVE",59,23,17,"Yes","Avg",NA,NA,NA,NA,-2.16970169888614,-18.5328922365764,-20.6657478718867,0,0,0,0.93987315185837,-0.823647846529127,7.4679103875164,19.7492708692009,0,0
"EPAN",59,6,18,"Yes","Unavg","Mod.7",0,1,0.187763785923234,-3.50631690775384,-14.1284968287261,-15.9500492836113,NA,NA,NA,2.55164139891883,0.46683818654561,NA,NA,NA,NA
"EPAN",59,6,18,"Yes","Avg",NA,NA,NA,NA,-3.50631690775384,-14.1284968287261,-15.9500492836113,0,0,0,2.55164139891883,0.46683818654561,0,0,0,0
"PAMY",59,67,61,"Yes","Unavg","Mod.3",0,1,0.0804942253615899,-0.0192268657930291,-8.66063341148389,-8.12966755146411,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",59,67,61,"Yes","Avg",NA,NA,NA,NA,-0.0192268657930291,-8.66063341148389,-8.12966755146411,0,0,0,0,0,0,0,0,0
"VAME",59,23,42,"Yes","Unavg","Mod.15",0,0.674759395299976,0.189803460159599,-1.97627504077389,13.0884739794565,-18.3112826140129,NA,NA,NA,-1.074207596039,1.20348032535232,27.8972828261519,-4.04523858430841,NA,NA
"VAME",59,23,42,"Yes","Unavg","Mod.7",1.45958189068159,0.325240604700024,0.170906621388358,-1.9344466646278,12.7050124982441,-17.0861245670916,NA,NA,NA,0.129596666798586,1.14760133916579,NA,NA,NA,NA
"VAME",59,23,42,"Yes","Avg",NA,NA,NA,NA,-1.96267075442251,12.9637567354278,-17.9128114699791,0,0,0,-0.682681569653239,1.18530621009499,18.8239536902867,-2.72956274099208,0,0
"ACMI",60,5,19,"Yes","Unavg","Mod.13",0.256869431585528,0.327526464234278,0.147712601332452,-3.31440675897303,-8.26094134932656,NA,NA,NA,NA,2.41232982086089,0.68315818445991,4.97615649241324,21.9117709117687,NA,NA
"ACMI",60,5,19,"Yes","Unavg","Mod.15",1.66852256107057,0.1616999235656,0.151415160925066,-3.35639217847772,-9.85282271061202,-3.12326765806018,NA,NA,NA,2.50376686980729,0.629924888144576,5.64196267573574,26.0602450144,NA,NA
"ACMI",60,5,19,"Yes","Unavg","Mod.4",0,0.372413045036525,0.111570175421175,-3.19458313229915,NA,NA,NA,NA,NA,2.33438186707603,0.867305426714723,NA,NA,NA,NA
"ACMI",60,5,19,"Yes","Unavg","Mod.5",1.98028098235486,0.138360567163597,0.111694270307368,-3.19501187974168,0.486110457188518,NA,NA,NA,NA,2.33909033684102,0.865543836466983,NA,NA,NA,NA
"ACMI",60,5,19,"Yes","Avg",NA,NA,NA,NA,-3.26005237321399,-4.23161907204229,-0.505032141583243,0,0,0,2.38795289331544,0.76836418199197,2.54212787486299,11.3906244787724,0,0
"ARUV",60,27,20,"Yes","Unavg","Mod.1",0.835530277726861,0.311421009361937,0.0469130414170214,-1.58307346635855,-9.12187003749752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",60,27,20,"Yes","Unavg","Mod.15",1.57035745919126,0.215666262939624,0.0849933164149995,-1.66981838033915,-18.1415123549191,-6.41012835389641,NA,NA,NA,-0.452360215899452,-0.0424021400672477,4.46439061759753,16.5489183930581,NA,NA
"ARUV",60,27,20,"Yes","Unavg","Mod.3",0,0.472912727698439,0.0585671977782406,-1.65164228137053,-11.2861485732008,-5.03741474498498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",60,27,20,"Yes","Avg",NA,NA,NA,NA,-1.63420848312813,-12.0906174549665,-3.76470597464734,0,0,0,-0.0975588372655961,-0.00914471108894579,0.962818440799977,3.56904338552363,0,0
"CARU",60,28,17,"Yes","Unavg","Mod.3",0,0.54110823440908,0.0823473500547177,-1.83255670601196,-12.5459941681625,-11.7087513684005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",60,28,17,"Yes","Unavg","Mod.7",0.32960988999551,0.45889176559092,0.0978165745565892,-1.54915514501285,-12.6975788172714,-12.0872954402116,NA,NA,NA,-0.477141606926079,-0.710667487180839,NA,NA,NA,NA
"CARU",60,28,17,"Yes","Avg",NA,NA,NA,NA,-1.70250606331385,-12.6155551154286,-11.8824621258678,0,0,0,-0.218956354439197,-0.326119457940478,0,0,0,0
"CEVE",60,23,18,"Yes","Unavg","Mod.15",0,1,0.172085400822832,-2.34991286811644,-23.1001382165855,-23.3711990342358,NA,NA,NA,1.10481596146269,-0.607499415944062,13.1132165413688,31.0133989688149,NA,NA
"CEVE",60,23,18,"Yes","Avg",NA,NA,NA,NA,-2.34991286811644,-23.1001382165855,-23.3711990342358,0,0,0,1.10481596146269,-0.607499415944062,13.1132165413688,31.0133989688149,0,0
"EPAN",60,6,15,"Yes","Unavg","Mod.7",0,1,0.232501873334402,-3.98793579829011,-22.9694245443641,-24.259003168329,NA,NA,NA,2.60734742006089,0.0790033773738335,NA,NA,NA,NA
"EPAN",60,6,15,"Yes","Avg",NA,NA,NA,NA,-3.98793579829011,-22.9694245443641,-24.259003168329,0,0,0,2.60734742006089,0.0790033773738335,0,0,0,0
"PAMY",60,67,59,"Yes","Unavg","Mod.3",0,1,0.0664101023784044,-0.0444155668166676,-8.28656421578941,-6.60533524058833,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",60,67,59,"Yes","Avg",NA,NA,NA,NA,-0.0444155668166676,-8.28656421578941,-6.60533524058833,0,0,0,0,0,0,0,0,0
"VAME",60,23,45,"Yes","Unavg","Mod.15",0,0.728938887155182,0.189584571230127,-1.93904747544449,12.6028736418083,-17.317424620279,NA,NA,NA,-0.649527681539382,1.31131606822286,24.4329878005676,-5.19064623173355,NA,NA
"VAME",60,23,45,"Yes","Unavg","Mod.7",1.97849118664575,0.271061112844818,0.169327769275149,-1.89443213605437,11.8013472407288,-16.2194900640351,NA,NA,NA,0.338971730625141,1.24530546681962,NA,NA,NA,NA
"VAME",60,23,45,"Yes","Avg",NA,NA,NA,NA,-1.92695399189945,12.3856110035572,-17.0198172576327,0,0,0,-0.381583930831618,1.29342316114694,17.8101549372219,-3.7836638877761,0,0
