"","NAME","Plot.Name.1980","Plot.Name.2015","Longitude","Latitude"
"2.109","East Cascades","5011","RaRi5011",-120.67457,48.41755
"2.110","East Cascades","5014","RaRi5014",-120.69289,48.41249
"2.111","East Cascades","5015","RaRi5015",-120.69476,48.41286
"2.112","East Cascades","5013","RaRi5013",-120.69037,48.41312
"2.113","East Cascades","5012","RaRi5012",-120.68687,48.41372
"2.114","East Cascades","5016","Rari5016",-120.70053,48.41024
"2.115","East Cascades","5018","RaRi5018",-120.70871,48.40845
"2.116","East Cascades","5017","RaRi5017",-120.71066,48.40831
"2.117","East Cascades","5019","RaRi5019",-120.72056,48.40731
"2.118","East Cascades","5021","RaRi5021",-120.73038,48.40213
"2.119","East Cascades","5023","RaLa5023",-120.73809,48.40102
"2.120","East Cascades","5022","RaLa5022",-120.73536,48.40137
"2.121","East Cascades","5026","RaLa5026",-120.75915,48.43244
"2.122","East Cascades","5027","RaLa5027",-120.75757,48.43851
"2.123","East Cascades","5127","Trap5127",-120.99136,48.4509
"2.124","East Cascades","5127","Supp5127",-120.99374,48.45096
"1.178","North Cascades","6067","BEAV6067",-121.22981,48.85672
"1.179","North Cascades","6063","BEAV6063",-121.23669,48.86093
"1.180","North Cascades","6061","BEAV6061",-121.2373,48.86102
"1.181","North Cascades","5030","Anne263",-121.33772,48.64173
"1.182","North Cascades","5031","Anne264",-121.32284,48.64111
"1.183","North Cascades","5032","Anne265",-121.39763,48.60471
"1.184","North Cascades","4030","Bac208",-121.21031,48.69906
"1.185","North Cascades","8010","Bak487",-121.17801,48.70572
"1.186","North Cascades","8011","Bak488",-121.06728,48.72881
"1.187","North Cascades","8012","Bak489",-121.06342,48.72991
"1.188","North Cascades","8014","Bak491",-121.09074,48.68348
"1.189","North Cascades","8015","Bak492",-121.08628,48.7081
"1.190","North Cascades","8016","Bak493",-120.85539,48.64336
"1.191","North Cascades","8017","Bak494",-120.7683,48.56111
"1.192","North Cascades","5111","Cari276",-121.07627,48.67597
"1.193","North Cascades","5113","Cari278",-121.15655,48.72912
"1.194","North Cascades","5115","Cari280",-121.14786,48.72021
"1.195","North Cascades","6080","Cari382",-121.15279,48.72763
"1.196","North Cascades","6082","Cari384",-121.17255,48.74022
"1.197","North Cascades","7075","Cari447",-121.14322,48.70878
"1.198","North Cascades","7076","Cari448",-121.2328,48.64874
"1.199","North Cascades","7077","Cari449",-121.21725,48.51429
"1.200","North Cascades","7078","Cari450",-121.21725,48.51429
"2.125","East Cascades","1001","Dia1",-121.05886,48.46748
"1.201","North Cascades","1002","Dia2",-121.06167,48.47278
"1.202","North Cascades","4055","Dia230",-121.07371,48.47641
"1.203","North Cascades","4057","Dia231",-121.08456,48.48761
"1.204","North Cascades","4059","Dia232",-121.12442,48.49179
"1.205","North Cascades","4061","Dia233",-121.12341,48.49373
"1.206","North Cascades","1003","Dia3",-121.01249,48.7184
"1.207","North Cascades","1005","Dia5",-121.32671,48.65152
"1.208","North Cascades","1006","Dia6",-120.9901,48.71519
"1.209","North Cascades","1008","Dia8",-121.01089,48.72031
"1.210","North Cascades","1009","Dia9",-121.09686,48.7092
"2.126","East Cascades","7101","Easy451",-120.70565,48.49417
"2.127","East Cascades","7102","Easy452",-120.76715,48.50623
"2.128","East Cascades","7103","Easy453",-120.76921,48.50224
"2.129","East Cascades","7104","Easy454",-120.75087,48.50928
"1.211","North Cascades","7105","Easy455",-120.80726,48.58347
"1.212","North Cascades","7106","Easy456",-120.81618,48.57978
"1.213","North Cascades","7107","Easy457",-121.5586,48.74809
"1.214","North Cascades","7108","Easy458",-121.5477,48.76765
"1.215","North Cascades","7109","Easy459",-121.54697,48.77031
"1.216","North Cascades","7110","Easy460",-121.53687,48.77716
"1.217","North Cascades","7111","Easy461",-121.61092,48.77828
"1.218","North Cascades","7112","Easy462",-121.60689,48.77432
"1.219","North Cascades","7113","Easy463",-121.61281,48.7803
"1.220","North Cascades","7115","Easy464",-120.84384,48.56434
"1.221","North Cascades","7116","Easy465",-120.82899,48.57246
"1.222","North Cascades","7117","Easy466",-120.82376,48.5735
"1.223","North Cascades","8004","Gor481",-120.84467,48.57183
"1.224","North Cascades","8005","Gor482",-120.89564,48.56012
"1.225","North Cascades","8001","Gran478",-120.88566,48.56126
"1.226","North Cascades","8002","Gran479",-120.86423,48.56869
"1.227","North Cascades","3001","Hozo132",-120.86191,48.56855
"1.228","North Cascades","3003","Hozo134",-120.95251,48.57242
"1.229","North Cascades","3005","Hozo136",-120.93428,48.569
"1.230","North Cascades","3007","Hozo138",-120.9675,48.57407
"1.231","North Cascades","3009","Hozo140",-120.84834,48.56547
"1.232","North Cascades","3011","Hozo142",-120.84988,48.56691
"1.233","North Cascades","3013","Hozo144",-120.85208,48.5699
"1.234","North Cascades","3015","Hozo146",-121.03979,48.94786
"1.235","North Cascades","5001","PCT235",-121.05392,48.96009
"1.236","North Cascades","4038","Thor217",-121.06525,48.98457
"1.237","North Cascades","4040","Thor219",-121.04045,48.95288
"1.238","North Cascades","4044","Thor223",-121.00895,48.9428
"1.239","North Cascades","4046","Thor225",-121.01437,48.94371
"1.240","North Cascades","1038","Thu42",-121.01013,48.94236
"1.241","North Cascades","1042","Thu46",-120.99184,48.94818
"1.242","North Cascades","6040","Copp6040",-121.49261,48.87971
