"Elevation.m","Elevation.m.poly","Elevation.m2","Elevation.m2.poly"
941,-0.012830381837968,-0.0327397890191644,-0.0327397890191644
1776,0.0512658046700469,0.0258341793007513,0.0258341793007513
938,-0.0130606675379968,-0.0325049395329945,-0.0325049395329945
1899,0.0607075183712276,0.0553339110858143,0.0553339110858143
1132,0.00183114106386534,-0.0411286444386266,-0.0411286444386266
1722,0.0471206620695286,0.0145760482955381,0.0145760482955381
1147,0.00298256956400932,-0.0412401355894491,-0.0412401355894491
1724,0.0472741858695478,0.0149745950016922,0.0149745950016922
1267,0.0121939975651612,-0.0392626228399566,-0.0392626228399566
1927,0.0628568515714963,0.0627981861085525,0.0627981861085525
1274,0.0127313308652284,-0.0389898028740789,-0.0389898028740789
2122,0.0778254220733681,0.122483856156403,0.122483856156403
1179,0.00543895036431648,-0.041211585803677,-0.041211585803677
2051,0.0723753271726866,0.0991927329369081,0.0991927329369081
686,-0.0324046663404157,-0.00139546293563905,-0.00139546293563905
2032,0.0709168510725042,0.0932627826855834,0.0932627826855834
557,-0.0423069514416539,0.0232351943427516,0.0232351943427516
1320,0.0162623782656699,-0.0367651526536698,-0.0367651526536698
403,-0.0541282840431321,0.0603587421806503,0.0603587421806503
983,-0.00960638203756487,-0.035692913597334,-0.035692913597334
374,-0.0563543791434105,0.0682895480798084,0.0682895480798084
783,-0.0249587620394846,-0.0160332325312423,-0.0160332325312423
630,-0.0367033327409532,0.00857282413897925,0.00857282413897925
609,-0.0383153326411548,0.0125973446094283,0.0125973446094283
347,-0.0584269504436697,0.0759412164305569,0.0759412164305569
374,-0.0563543791434105,0.0682895480798084,0.0682895480798084
408,-0.0537444745430841,0.0590214732811433,0.0590214732811433
508,-0.0460682845421243,0.0341359187810509,0.0341359187810509
1242,0.0102749500649212,-0.0400952790236115,-0.0400952790236115
1217,0.00835590256468123,-0.0407065276489275,-0.0407065276489275
1199,0.00697418836450845,-0.0410095310990315,-0.0410095310990315
