"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper"
"TRBO",60,10,22,"No","Global_unavg",0.176383086598508,-4.88040077169668,-62.3819295157371,-23.248082380225,-0.901290184586579,-57.4503151085484,-17.4134927753525,2.3111119665501e-05,0.109076422054753,0.27653335726298,0.661501395106072,0.395109190408798,0.590880483870448,-8.33163762394041,-175.034303810683,-79.8403589317222,-5.63679159037533,-209.18511598582,-85.5644929706329,-3.44948889927169,-14.1444405113126,7.50819231495285,3.35622643683826,82.0485318968333,50.9245263928749
"VASI",60,24,27,"No","Global_unavg",0.179196310671139,-4.13367810959919,61.2896593121384,-18.2828965016567,0.548217287475757,-11.7729675209341,2.97489761131278,2.74791458969446e-08,0.00287387742589931,0.102409465691722,0.547166759923627,0.642035766785258,0.836167499188998,-6.06458511104128,30.4738766212569,-44.4157398602671,-1.19030063771067,-69.2071714785606,-24.8121131858447,-3.0375692022506,113.346685566195,0.438360271622584,2.65919978761684,36.5517969782506,33.4197539544725
"ACCI",61,72,59,"No","Global_unavg",0.246998106910103,-3.54029202724611,-97.8873186592491,-39.1491958453314,-0.0155903436798743,9.78772329764282,7.59736235426305,6.89497247149156e-08,1.05712621210278e-05,0.000743142157977072,0.986789547253563,0.758425886809997,0.644881401556467,-5.04097176148278,-148.037027097743,-64.4321295638609,-1.94935530613684,-55.1128444070497,-25.4308469722788,-2.45836191084317,-60.8024042844808,-18.7909383670429,1.85980343532026,72.9270466856728,40.1646845463703
"ACGL",61,15,12,"No","Global_unavg",0.0732867757721231,-3.3749307525711,-19.468101672197,-8.76330785648443,-1.62544160364789,-51.0594509425918,-37.1747320977839,2.77845565252332e-23,0.0804888335463612,0.356152761680791,0.174165776659828,0.192175411303093,0.164725204699909,-4.18990035535013,-46.937689551226,-30.4708391225632,-4.7941436140828,-152.274322485324,-101.910874656816,-2.79897117024065,-1.08566131058402,7.58777688531234,0.157831950355242,8.49380949505832,6.73383063291507
"AMAL",61,42,43,"No","Global_unavg",0.11651132963612,-2.77167621169968,-43.3033747393673,-19.922214777727,0.0536805113702645,0.803215460667293,0.272072504711412,8.58065006346156e-15,0.000443239201346678,0.0187314545355384,0.913976020391134,0.962653944127886,0.981683584337472,-3.61699851734172,-72.2301574626598,-38.6930778667559,-0.95449046897224,-33.8579317156562,-23.298673021685,-2.18447369809677,-23.172591563165,-5.15343816663822,1.07756853807637,35.9620492057466,24.024932449652
"ATFI",61,24,31,"No","Global_unavg",0.0850352490974104,-3.03412486684239,-27.6814799431101,-5.12427771703635,0.0953515424176963,-8.22561595434745,-11.1322969121309,1.405368865747e-21,0.00872003431819766,0.509531878986447,0.840630858250226,0.60820021365016,0.341160366502684,-3.79883549862031,-53.6492914606797,-22.5142030932057,-0.905250421053258,-42.031543819821,-35.0032914388437,-2.49889022622621,-10.6875815427837,8.52164195872902,1.05328673525275,24.3369768626865,11.9232309014503
"CAME",61,32,28,"No","Global_unavg",0.388067564425136,-7.57587799747198,150.756744827161,-30.0982711783955,-0.109800547547199,3.7739810884434,-10.6744357886463,0.00683794934308682,0.032140045341739,0.255846042746608,0.976846115608131,0.968471609191156,0.769186516361166,-14.4206644150473,53.2627075983927,-90.5574480417371,-7.64795394704884,-195.101144875486,-82.4810857102031,-3.79508879443019,319.572863828718,10.2266862749779,7.86532409677599,193.116296683002,62.9714459514691
"CHUM",61,61,52,"No","Global_unavg",0.170417587885061,-2.35952998268708,-44.2190874957774,-26.3488143190661,-1.55621337788983,-50.3227701623028,-21.0425144452323,4.24815702726454e-15,1.96134438601915e-05,0.000575218803118978,0.0462976043110027,0.0557576616084541,0.180364470024039,-3.04085155619425,-67.5354904467188,-42.8943323962592,-3.31143823866709,-108.614181699944,-54.470061493342,-1.84616668578282,-26.5730507213631,-12.7236188799879,-0.196092207765796,-4.00036850664593,7.87104337259154
"CLUN",61,44,49,"No","Global_unavg",0.154992528031718,-2.91983088773919,-39.5768506205205,-43.1686405767363,-0.274705461382675,-19.0700006094439,-6.55365811136842,1.00000534319644e-14,0.00083707471763108,5.81826474226744e-05,0.648047946146533,0.321702016477568,0.68368026568574,-3.78142570374883,-66.2892097178262,-66.6968978078817,-1.52867361553899,-59.0459349428304,-38.9913895125023,-2.28427529489374,-19.3678488772136,-24.3851340601051,0.89543468104918,18.1046635535173,25.0121858995384
"COCA",61,20,25,"No","Global_unavg",0.114736698735893,-3.52425648585644,-39.9137398530301,-13.6879478862336,-0.450563483780424,-25.5699510535706,-18.8754089137587,4.71101826623156e-13,0.0169700547324902,0.210687192451274,0.607349443070838,0.390425087450005,0.307521221325167,-4.7955028938618,-83.0045533892194,-39.4224087595517,-2.4550629953995,-92.3040061781455,-58.5062482447855,-2.77893011367756,-14.9083448606691,4.44889683836379,1.23889745418324,31.9776137767741,16.6834262213593
"GAOV",61,11,8,"No","Global_unavg",0.125605951344507,-4.2285186578183,-8.0242150517202,-43.3254747132392,-1.34545842693956,10.181132026533,-32.6800366505484,2.48629970420603e-12,0.60188194240576,0.0230405348133454,0.316010159527468,0.707151810397995,0.406948159704901,-5.75501041967363,-43.65350482619,-88.9457184532291,-4.70821241795741,-45.8705502375534,-126.032114816661,-3.29343433261523,20.4423617460475,-12.6683582651072,0.976867153044775,66.5214998393707,37.3034052840496
"GASH",61,21,21,"No","Global_unavg",0.210911676010695,-4.72381612508711,-75.1274070227398,-7.56669524933403,0.347801426092782,7.52174503568551,-2.96603331989033,0.000259587241850811,0.0712097844613576,0.6677851124503,0.832217170098279,0.887756642086814,0.898872926054195,-8.52587210874354,-194.046673874427,-53.486111783042,-3.05468653470594,-101.845506217449,-50.0541597313421,-3.19153408977378,-26.5150139359205,17.3921143684684,4.44217472472117,136.641844707137,48.9993131051256
"GOOB",61,20,36,"No","Global_unavg",0.100739800171301,-3.16782529889963,-23.4804471224958,-13.9939809024679,0.131659765071266,-22.565026231052,-10.6425070456717,1.44467805142769e-21,0.0348111286034376,0.134574817499322,0.804201541699739,0.211270334808514,0.4336850728543,-3.96411079815188,-50.3720948368228,-35.1900757867918,-1.00890046366462,-61.0585369743342,-38.0814187704075,-2.610561888832,-5.18229262701961,2.09111481621809,1.17496779671295,12.9261682623837,16.53551064017
"GYDR",61,17,23,"No","Global_unavg",0.0679976331478018,-3.55417796748612,-33.4456067824975,-16.9874285630086,0.461525656670172,9.91077491988582,-4.77871727486129,7.39741753782685e-15,0.0321110733231932,0.142856897184448,0.415294654326928,0.603984581988071,0.75441093922093,-4.73051110936121,-73.2376186152472,-44.2456104311015,-0.613814260464244,-25.8506220625455,-34.5031140201713,-2.8405355638689,-9.51162319210853,2.23705810441455,1.76187775658852,53.7348165960823,27.380763696425
"HIAL",61,12,9,"No","Global_unavg",0.0649978402520609,-3.85323169541748,-30.8317948686699,-14.1743277115212,-0.320507867240693,-1.11983007763489,6.47129959653204,2.91832523148671e-14,0.0743048111169357,0.271397585719539,0.680701437120413,0.966204434600891,0.730124612720748,-5.21805482345398,-76.9938888712922,-45.3713888765412,-2.20822558143912,-64.8417761332091,-33.8003458362105,-3.07729289126618,-5.14574143037255,6.77561654092556,1.3085698669901,53.6945058171117,44.6888743009801
"HODI",61,17,7,"No","Global_unavg",0.165232910302188,-4.36003907773717,-63.287316404046,-19.4383106379216,-2.2807337275614,-36.381782577531,NA,5.16277014179401e-07,0.0290900676965487,0.191983548200422,0.0893133961392224,0.261876552450683,NA,-6.69632391992145,-139.501888609397,-55.7473681366267,-5.3725064572202,NA,NA,-3.15472463886914,-22.980443538976,3.75501499967025,-0.0430876287736559,NA,NA
"LIBO",61,48,64,"No","Global_unavg",0.211536756017462,-3.55549734297585,-77.3084623823597,-42.846155417847,-0.131057382823569,-19.6783635127222,-2.46391530115491,4.13963720686268e-09,0.000146997264742189,0.000667693640452485,0.88415849243745,0.516612405314066,0.889111572233102,-4.96857615585848,-124.191320828406,-70.8761354884571,-1.96421126500777,-81.1739301522905,-37.415079679774,-2.57647208940294,-43.9146812210045,-21.2265004317453,1.67149468333554,40.8093176586722,33.02938750638
"MANE",61,61,56,"No","Global_unavg",0.257068787229667,-4.70145147956854,-128.795801834288,-53.0814446979551,0.11838594420506,7.8729045781996,2.9070008433518,1.21566554084331e-06,5.91663511153217e-05,0.000677564493556017,0.930374218036013,0.860764918250619,0.894897857641771,-6.92672391634572,-201.541387059009,-87.5908948457586,-2.61636620715073,-82.3091798713623,-41.0373185233867,-3.11711027812718,-75.5773413844651,-26.1079565997422,2.85539471544868,98.1057498797284,46.751501885283
