"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"RUSP",6,15,22,"No","Avg.Confidence",-4.01169489568677,-40.7600908377019,-14.211762504148,-0.499561920216072,-12.3608213861891,NA,NA,NA,NA,NA,NA,NA,-2.68940295674447,-5.58504949879622,7.59044179351209,1.05787300587491,17.1877616654788,NA,NA,NA,NA,NA,NA,NA
"SOSI",6,48,17,"No","Avg.Confidence",-3.0935691059467,21.9431824998306,-35.6160950662072,-2.01972748975869,-13.7266324107995,NA,NA,NA,NA,NA,NA,NA,-2.04392957318902,51.3059463619014,-12.6118250679814,-0.542732980148997,20.2242262348955,NA,NA,NA,NA,NA,NA,NA
"SPBE",6,17,32,"No","Avg.Confidence",-4.66622612009279,-70.4518378218581,-35.2378321816401,-0.0288328803113105,-15.6459960749597,NA,NA,NA,NA,NA,NA,NA,-2.99786665054868,-19.27582990117,-4.13180101286616,1.42379015379506,14.7861491762755,NA,NA,NA,NA,NA,NA,NA
"TITR",6,34,42,"No","Avg.Confidence",-2.82713126437857,-32.032189055667,-19.7123813254402,-0.286306055325949,NA,NA,NA,NA,NA,NA,NA,NA,-2.07829463540839,-11.2923183425387,-1.94648705600657,0.473378381897119,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",6,10,27,"No","Avg.Confidence",-8.14925848487174,-168.7762160536,-70.4442514754424,-2.73411864987552,-120.368206990217,-40.9936341802967,NA,NA,NA,NA,NA,NA,-3.28235481882255,-11.5842689977826,2.63125765572347,3.20690964510339,65.8079628613109,30.5545635230038,NA,NA,NA,NA,NA,NA
"VAME",6,95,110,"Yes","Avg.Confidence",-1.51967018497235,3.64763918511155,-28.1527396146129,NA,NA,NA,-3.86005699426901,-0.0534664452967029,13.8672550364311,-18.8254668913237,NA,NA,-0.991146212051127,19.7408850901413,-15.9034276057678,NA,NA,NA,-0.0417789765757934,0.646093036043984,97.2126697162962,3.63681485828357,NA,NA
"VASI",6,24,29,"No","Avg.Confidence",-4.71383167619019,31.5229933971452,-30.2710042046679,-0.321189054744611,NA,NA,NA,NA,NA,NA,NA,NA,-2.96551678828676,78.8525053401929,-2.97179440681755,0.467689873428135,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",60,72,57,"No","Avg.Confidence",-4.31840223159483,-121.097760655346,-49.6835132779111,-0.839499695324668,-11.9978807833659,NA,NA,NA,NA,NA,NA,NA,-2.44191815822716,-59.2270990940881,-17.8001849720137,0.350541448742197,10.219998240432,NA,NA,NA,NA,NA,NA,NA
"ACGL",60,15,14,"No","Avg.Confidence",-4.30542271903916,-51.6208640545623,-33.7983294922236,-0.414381167857897,NA,NA,NA,NA,NA,NA,NA,NA,-2.97592918674612,-8.38431886976736,-0.0662650239866167,0.377280222368293,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",60,10,22,"Yes","Avg.Confidence",-4.37701581225038,-32.8415074767525,-10.8097314789096,NA,NA,NA,1.8415337150535,-1.24273632874661,-18.7469631537291,10.6425916921814,NA,NA,-2.98840852691695,7.08442495666315,6.62764672499165,NA,NA,NA,3.85506855848247,0.967906450970454,33.5129333090997,71.5211969049106,NA,NA
