Resurvey.Year,2015.Plot.Name,1980.Plot.Name,Latitude,Longitude,2015.Elevation.m
2015,STE2088,2088,48.34626,-120.72924,430
2015,STE2022,2022,48.35617,-120.69366,941
2015,STE2002,2002,48.35226,-120.69578,865
2015,STE2020,2020,48.35242,-120.69411,872
2015,STE2038,2038,48.33995,-120.68851,557
2015,STE2045,2045,48.31108,-120.64748,634
2015,STE2041,2041,48.30852,-120.63457,983
2015,STE2043,2043,48.31152,-120.64018,783
2015,STE2047,2047,48.28195,-120.63262,347
2015,STE2049,2049,48.2835,-120.63379,374
2015,STE2040,2040,48.33333,-120.68734,403
2015,STE2042,2042,48.34107,-120.70263,374
2015,STE2044,2044,48.3468,-120.69739,630
2015,STE2001,2001,48.34463,-120.68139,838
2015,STE2003,2003,48.34819,-120.66803,982
2015,STE2046,2046,48.3455,-120.69481,609
2015,HIBR2082,2082,48.38364,-120.83337,634
2015,STE2036,2036,48.34336,-120.69005,686
2015,HIBR2052,2052,48.38037,-120.83429,508
2015,HB2066,2066,48.37562,-120.83883,573
2015,HB2064,2064,48.37416,-120.83536,669
2015,HB5144,5144,NA,NA,
2015,Park5122,5122,48.44075,-120.90571,1010
2015,Park5124,5124,48.43819,-120.90897,1000
2015,BrCr5028,5028,48.46495,-120.75203,1052
2015,Nort5152,5152,48.47329,-120.84106,924
2015,Stil5002,5002,48.47885,-120.70591,1223
2015,Nort5150,5150,48.48469,-120.85074,966
2015,Goode5136,5136,48.44769,-120.88988,1679
2015,Goode5134,5134,48.44691,-120.89116,1691
2015,Copp6036,6036,48.90402,-121.4418,784
2015,Copp6044,6044,48.88753,-121.52423,1346
2015,Copp6012,6012,48.89637,-121.50427,1618
2015,Copp6008,6008,48.89617,-121.48026,1669
2015,Copp6004,6004,48.90373,-121.467,1714
2015,Copp6006,6006,48.90614,-121.46334,1817
2015,Copp6020,6020,48.93221,-121.43975,1721
2015,Copp6018,6018,48.91846,-121.44685,1566
2015,Copp6022,6022,48.93815,-121.42554,1720
2015,Copp6028,6028,48.95473,-121.4023,892
2015,Copp6032,6032,48.93371,-121.39318,744
2015,Copp6034,6034,48.92078,-121.41408,763
2015,What6031,6031,48.87437,-121.36478,1583
2015,What6029,6029,48.87499,-121.35811,1481
2015,What6027,6027,48.88229,-121.37015,1755
2015,What6025,6025,48.88342,-121.37107,1759
2015,What6011,6011,48.88314,-121.37649,1718
2015,What6013,6013,48.87843,-121.36175,1693
2015,What6015,6015,48.87611,-121.36347,1595
2015,What6021,6021,48.87405,-121.37292,1458
2015,What6017,6017,48.8732,-121.38152,1338
2015,What6019,6019,48.87438,-121.39512,1159
2015,Copp6016,6016,48.93163,-121.43913,1701
2015,Copp6024,6024,48.95256,-121.41911,1350
2015,Copp6038,6038,48.89019,-121.45778,851
2015,Copp6030,6030,48.94621,-121.40054,710
2015,Copp6026,6026,48.9534,-121.40733,1037
2015,Copp6014,6014,48.9076,-121.46302,1873
2015,Copp6002,6002,48.90329,-121.46986,1661
2015,Copp6010,6010,48.89532,-121.49453,1657
2015,Copp6042,6042,48.89274,-121.51527,1483
2015,What6035,6035,48.87284,-121.34833,1020
