"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"CHUM",21,61,52,"No","Unavg","Mod.7",1.11294507069874,0.264699252305991,0.154891095081746,-3.85516817292068,0.00807818506626763,-5.28324001455e-06,-0.203723169861205,NA,NA,NA,NA,NA,NA,NA,NA
"CHUM",21,61,52,"No","Avg",NA,NA,NA,NA,-4.04762650623365,0.00829505703060023,-5.32551521349167e-06,0.148504779097274,-0.000320851826000312,0,0,0,0,0,0,0
"CLUN",21,44,48,"No","Unavg","Mod.6",0,0.705981535658778,0.140090197880437,-7.38583508292226,0.0137501993352994,-7.36964079747508e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLUN",21,44,48,"No","Unavg","Mod.7",1.75189302889021,0.294018464341222,0.140537340152639,-7.44800939818855,0.0137574988072419,-7.37349820976465e-06,0.11628194269164,NA,NA,NA,NA,NA,NA,NA,NA
"CLUN",21,44,48,"No","Avg",NA,NA,NA,NA,-7.40411547961832,0.0137523455148304,-7.37077494791279e-06,0.0341890382208099,0,0,0,0,0,0,0,0
"COCA",21,20,21,"No","Unavg","Mod.6",0,0.727894000373776,0.100017816608335,-4.00009377632022,0.00539315373497797,-3.88822866661987e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",21,20,21,"No","Unavg","Mod.7",1.96792747764829,0.272105999626223,0.100119127611472,-4.03015096878303,0.00539435856990062,-3.88889323472152e-06,0.0585651074133711,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",21,20,21,"No","Avg",NA,NA,NA,NA,-4.00827251872127,0.00539348157778898,-3.88840949958749e-06,0.0159359170959325,0,0,0,0,0,0,0,0
"COST",21,12,11,"No","Unavg","Mod.2",0,0.726777065273373,0.100124584752064,-1.2200299507101,-0.00251524844204151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COST",21,12,11,"No","Unavg","Mod.3",1.95666341520737,0.273222934726627,0.100336229526219,-1.17598987606865,-0.00251553341713381,NA,-0.0895758366407707,NA,NA,NA,NA,NA,NA,NA,NA
"COST",21,12,11,"No","Avg",NA,NA,NA,NA,-1.20799719227098,-0.00251532630377255,0,-0.0244741729675843,0,0,0,0,0,0,0,0
"EPAN",21,18,23,"Yes","Unavg","Mod.7",0,1,0.0842045448237224,-6.53457108385465,0.00716792911748344,-3.11004204900574e-06,NA,NA,NA,2.11582351225501,-0.170459630709666,NA,NA,NA,NA
"EPAN",21,18,23,"Yes","Avg",NA,NA,NA,NA,-6.53457108385465,0.00716792911748344,-3.11004204900574e-06,0,0,0,2.11582351225501,-0.170459630709666,0,0,0,0
"GAOV",21,11,8,"No","Unavg","Mod.6",0,0.680929346092473,0.0950144086022687,-12.3141453152328,0.0175359885497036,-7.91396080268232e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAOV",21,11,8,"No","Unavg","Mod.7",1.51609197334341,0.319070653907527,0.0977558552897629,-12.1685682675298,0.0175466791823129,-7.91824238811474e-06,-0.328855331312087,NA,NA,NA,NA,NA,NA,NA,NA
"GAOV",21,11,8,"No","Avg",NA,NA,NA,NA,-12.2676959514283,0.017539399616841,-7.915326930946e-06,-0.104928085602724,0,0,0,0,0,0,0,0
"GASH",21,21,23,"No","Unavg","Mod.11",1.96994276962118,0.130333693451963,0.182226109106475,0.766735079199127,-0.00455315878910054,NA,-1.00372896225713,0.00172439823962788,NA,NA,NA,NA,NA,NA,NA
"GASH",21,21,23,"No","Unavg","Mod.15",1.86909082862178,0.137074422035662,0.188528571279454,-0.254166288053283,-0.00122860973678164,-2.4077078528423e-06,-1.47475191903297,0.00248533980244905,NA,NA,NA,NA,NA,NA,NA
"GASH",21,21,23,"No","Unavg","Mod.2",0,0.348999126447164,0.176136027909531,0.170762166118529,-0.00351025879762696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",21,21,23,"No","Unavg","Mod.3",1.88819392090863,0.135771382297165,0.176471441162808,0.115659128633653,-0.00351084283602192,NA,0.108944286282027,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",21,21,23,"No","Unavg","Mod.6",0.684722383057078,0.247821375768045,0.180081802129015,-0.805658234178057,-0.000657484700099416,-1.80896427803274e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",21,21,23,"No","Avg",NA,NA,NA,NA,-0.059268567682039,-0.00262652897320863,-7.78335178456406e-07,-0.318178953481217,0.000565423708535696,0,0,0,0,0,0,0
"GOOB",21,20,45,"No","Unavg","Mod.15",0.622634283236152,0.422793272140836,0.118833000776445,-4.74467087317809,0.00580898032987823,-3.41101466920679e-06,1.85004179892676,-0.00109281472680516,NA,NA,NA,NA,NA,NA,NA
"GOOB",21,20,45,"No","Unavg","Mod.7",0,0.577206727859164,0.115700894358648,-4.05722441516647,0.00491643571542527,-3.32093380168e-06,0.928396885325697,NA,NA,NA,NA,NA,NA,NA,NA
