"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"OPHO",10,29,16,"No","Unavg",0.125111237919982,-3.14102964885333,-39.2098281640497,-3.40140684445934,-0.667861946340844,-0.545886848852846,-22.018045017553,NA,NA,NA,NA,NA,NA
"PAMY",10,127,101,"Yes","Unavg",0.0529249070151449,-0.710632793066326,-10.884771893233,-12.1005528988166,NA,NA,NA,0.582061848354534,-0.454228509257529,NA,NA,NA,NA
"POMU",10,20,9,"No","Unavg",0.192211096348581,-3.95574720634892,-49.2127547624698,NA,-0.885240467813017,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",10,47,18,"No","Unavg",0.11950851332096,-2.4063663921086,-33.9194167792294,-14.98266422489,-1.08344633269904,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",10,18,11,"No","Unavg",0.18886439759261,-5.71630302459862,80.0466976556009,-65.7797632999346,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",10,33,22,"No","Unavg",0.112611858986924,-3.19322893459879,-46.098027192677,-30.6029636446141,-0.451932160153695,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",10,23,23,"No","Unavg",0.0290777805777261,-2.83464674042933,3.03917472664435,-15.4024738339723,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",10,15,23,"No","Unavg",0.0485632736830518,-3.11865386170056,-19.1783655424375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",10,48,22,"No","Unavg",0.157913956706415,-2.65502283780385,39.4075291232554,-26.2578203203287,-0.92102881013726,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",10,17,27,"No","Unavg",0.106727128777494,-3.76740993779959,-42.5079518778398,-15.3164985659809,0.514246181763221,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",10,34,38,"No","Unavg",0.0518527007809896,-2.44974287084494,-21.2063370293353,-9.02727123130191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",10,10,26,"No","Unavg",0.19615244958181,-6.15904457715368,-104.287267085851,-35.7942352969584,1.05966719644534,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",10,95,115,"Yes","Unavg",0.0967857606859052,-1.24994599034059,11.6174502341664,-21.9376877728888,NA,NA,NA,-1.55498441730674,0.372668298297508,49.5967416406709,-8.17175925209739,NA,NA
"VASI",10,24,27,"No","Unavg",0.172296197646807,-3.73633909003955,51.9299872751536,-15.4059781699367,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",100,72,61,"No","Unavg",0.24832397572058,-3.54505250627373,-93.8046301126533,-35.1770014893196,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",100,15,12,"No","Unavg",0.059796271312041,-3.72310865751019,-30.2665570128084,-15.7642836705072,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",100,10,18,"Yes","Unavg",0.147126709654829,-3.7552090714446,-16.4623623057139,-9.61093566611153,NA,NA,NA,2.72275521985236,-0.586675315536277,14.912505049869,55.7601666105822,NA,NA
"AMAL",100,42,46,"No","Unavg",0.108208610639551,-2.60298925865987,-38.8611399624099,-17.8714757577419,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",100,42,26,"Yes","Unavg",0.0546048356943907,-2.28096722943474,-21.6205864326823,-8.97536028330298,NA,NA,NA,0.335110666159553,-0.471770555159869,2.39799412532705,24.8217189882372,NA,NA
"ATFI",100,24,29,"No","Unavg",0.0765754620784103,-2.97717010461206,-30.3000586877117,-9.65996398515554,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAME",100,32,28,"No","Unavg",0.391861621830236,-7.52215943225793,149.059761845257,-32.7133831969461,NA,NA,NA,NA,NA,NA,NA,NA,NA
