"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"ARUV",6,42,27,"Yes","Global_unavg",0.0565462465115033,-2.28040959202362,-21.5962761760837,-8.93718378183513,0.638685690920853,-0.504383527242308,9.55262433861943,20.7636755203568,3.48093362547581,-3.20283065461753,5.07252544068381e-27,0.00192279766269446,0.131171399024459,0.223425775078201,0.122161832932609,0.502827501041234,0.0419439337388344,0.795180216031955,0.745915351955672,-2.74489828865002,-37.2257914608418,-21.6077723411258,-0.507397616330843,-1.16172184833921,-23.7130036891087,0.895266274300978,-25.6095534914716,-23.4910407703076,-1.90033843609445,-9.42252782033553,1.80433420811072,1.60503406741734,0.138060039605798,36.3242921893706,41.6746111223174,28.5133030007605,15.7721535459074
"CARU",6,33,19,"Yes","Global_unavg",0.0788296013216041,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.67995855826411,-1.3405534231423,26.039387618479,0.981208947762564,-2.81529480932092,-28.1486992464224,1.42756004345872e-28,0.0234860878202897,0.0610342049335165,0.228525587189707,0.0220830733983765,0.104059805643443,0.952566575304007,0.859212031325587,0.123285024003988,-3.00424553743436,-33.0749517720403,-27.4509515268739,-0.600459173166444,-2.73577446502334,-4.41385762842114,-36.230332070753,-40.3748379547839,-69.7054291853947,-2.10237978604697,-3.64240610498387,-0.558651255048112,1.70646067827568,-0.346353801602616,62.4864593002925,31.1517988776383,25.4586213789225,3.48498818723881
"CEVE",6,26,22,"Yes","Global_unavg",0.117606707383201,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.52097789343641,-0.595728831970265,9.36799580542019,15.9475406957486,-33.4293289096236,-2.42664940982131,6.81045494175387e-25,0.0529415145912763,0.0277241389573845,0.014907731178944,0.19300767367717,0.605258703766527,0.253134814111666,0.152400933448469,0.868869990828857,-3.4757757760765,-37.71291368667,-37.7601215801427,0.0708788304826317,-1.57334244305644,-28.3799828400739,-12.0811677755274,-89.1684919427471,-33.5908843000061,-2.36640772438937,-1.70905668381894,-3.85751545028757,2.65380716744875,0.286910928976948,45.4558846086543,44.3752292789618,5.97000074987063,25.4398895717233
"EPAN",6,18,26,"Yes","Global_unavg",0.0975983288614782,-3.27081353062761,-1.48934084073629,-25.4282138865056,2.46227485537298,0.164898617542737,-5.87257480813927,3.51848881814539,20.8889223693665,16.5554857971256,2.3220780998088e-23,0.874926886211089,0.0184441783337345,8.92372054468071e-07,0.702738020363973,0.651913192489818,0.779853630818696,0.137630096681534,0.231959877559138,-4.02541824041008,-21.6358330583547,-49.6605687318369,1.48353558890961,-0.670424144606098,-31.9452733221216,-21.2322017106235,-6.0699650944848,-10.1725658523232,-2.70650407490307,16.8936543342695,-6.85261115632462,3.48306249518993,1.0667571747302,20.2058117192654,29.1549988205965,50.1272752553505,45.2380308149165
"PAMY",6,127,104,"Yes","Global_unavg",0.0469420582714544,-0.704733383418324,-10.7565459077929,-11.1839878274356,0.685120854024235,-0.386142935885352,-3.74150010137456,0.898626077618053,-1.17696204550052,3.94438174505311,1.36431722698471e-09,0.00202000752434977,0.00143191711834114,0.0719580590368976,0.0281381777946446,0.697070775450148,0.864942714900841,0.906222159450616,0.455608219836932,-0.937355681361206,-17.8184035136422,-18.3253263809025,-0.066497135635318,-0.733728759800069,-24.2236381689767,-9.57180888293699,-22.465260241958,-6.51847069578047,-0.480565264904649,-4.10095725140396,-4.53312163918003,1.44209090895623,-0.0430159724119913,14.2678696614279,11.2222852298765,17.3431339342861,14.275580443679
"VAME",6,95,110,"Yes","Global_unavg",0.0942188057371662,-1.248284826087,11.5948650469673,-21.8172604871122,-1.55068609455413,0.295104997052591,49.4253637456235,-7.50868990493089,NA,NA,1.78504131950547e-20,0.00460052394485288,2.74262672926062e-12,0.103647145077799,0.097830056098612,0.018096726380212,0.188883169175443,NA,NA,-1.51967018497235,3.64763918511155,-28.1527396146129,-3.86005699426901,-0.0534664452967029,13.8672550364311,-18.8254668913237,NA,NA,-0.991146212051127,19.7408850901413,-15.9034276057678,-0.0417789765757934,0.646093036043984,97.2126697162962,3.63681485828357,NA,NA
"ACMI",60,10,22,"Yes","Global_unavg",0.159586542232534,-3.79745936398687,-17.9955825669523,-12.336152189076,2.9823623144845,-0.0288090199060033,12.5094961583455,46.6357532762327,8.91992321571192,9.6328668656675,8.34673697743456e-20,0.188848414917,0.313261867879326,1.15534152095207e-07,0.963856169863346,0.441035669879822,0.0151587735757011,0.554067134837423,0.544553197335093,-4.85055381198142,-53.0924880418355,-41.3983267382669,1.92327692026645,-1.44663254882214,-16.5979004517591,14.3332739077885,-18.9739168009049,-21.1390878703022,-3.11229189677231,4.37455408545323,8.00113926772973,4.22363093236695,1.2705165826389,50.7510002056979,92.1821940750781,41.9459793693921,43.5698884791751
"ARUV",60,42,28,"Yes","Global_unavg",0.049238751322446,-2.28040959202362,-21.5962761760837,-8.93718378183509,0.295803627409879,-0.369790312507109,6.28612635580909,20.9056513628187,9.34387890709835,-0.0462058150174922,5.0725254406844e-27,0.00192279766269449,0.131171399024461,0.619967901267068,0.235648511521301,0.677872532752287,0.0320941682971376,0.50426586634724,0.996021288223512,-2.74489828865002,-37.2257914608419,-21.6077723411258,-1.07542441514965,-0.98794870950884,-32.084349266965,2.13769808552233,-21.040243736384,-18.7716798985396,-1.90033843609445,-9.42252782033554,1.80433420811077,1.35614392697739,0.251468673760827,33.8072733336484,41.0436932255222,35.9374476338498,17.9913039958809
"CARU",60,33,21,"Yes","Global_unavg",0.0622001955497576,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.710289077822843,-0.956912674213233,12.8315383186532,-2.67366370744342,7.32464849590913,-16.2682677859321,1.42756004345892e-28,0.0234860878202899,0.0610342049335169,0.190808085986057,0.048892894245402,0.365716958474419,0.85947456896452,0.600188763800968,0.28056528229419,-3.00424553743435,-33.0749517720399,-27.4509515268737,-0.469203249946508,-2.08147697874942,-17.6842451762023,-36.7161778183327,-23.0123905122941,-49.6933287470347,-2.10237978604698,-3.64240610498409,-0.558651255048259,1.71168096866067,-0.0960955982739111,41.2884113890819,24.8909645027588,33.7590117983206,10.703976200734
"CEVE",60,26,20,"Yes","Global_unavg",0.130130263601501,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.5209778934364,-0.870893477650979,9.36799580542021,17.8584618265919,-33.4293289096237,-7.23750417830407,6.8104549417535e-25,0.0529415145912759,0.0277241389573845,0.0149077311789439,0.0906973645011873,0.605258703766525,0.238998411037606,0.152400933448468,0.660944108880021,-3.4757757760765,-37.7129136866701,-37.7601215801428,0.0708788304826196,-2.0243133765449,-28.3799828400744,-12.9644121511616,-89.1684919427476,-43.3773803503061,-2.36640772438936,-1.70905668381877,-3.85751545028746,2.65380716744875,0.0841995816263456,45.4558846086549,48.7316964812657,5.9700007498709,23.1055415550727
