"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"HODI",73,17,10,"No","Unavg",0.612065072367045,0.154281061501886,0.148369414485267,-3.86372456783758,-41.3679314731431,NA,-0.575579690580366,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",73,17,10,"No","Unavg",1.42414366581343,0.102795000333766,0.153499426052555,-3.6433902003376,-34.6047722906403,NA,-1.39000984503796,-22.3804218104593,NA,NA,NA,NA,NA,NA,NA
"HODI",73,17,10,"No","Avg",NA,NA,NA,-4.40049518227006,-59.1403960257156,-12.0360924259731,-0.780850392119471,-11.0776110980576,NA,NA,NA,NA,NA,NA,NA
"LIBO",73,48,66,"No","Unavg",0,0.602951971647245,0.208244979516327,-3.72896064770955,-84.1163668537277,-42.3572417300177,0.444257696102224,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",73,48,66,"No","Unavg",0.835560585914095,0.397048028352755,0.210078983986799,-3.55364681951543,-77.2455946548708,-42.8025794619747,0.0891493849130619,-13.5301529357156,NA,NA,NA,NA,NA,NA,NA
"LIBO",73,48,66,"No","Avg",NA,NA,NA,-3.6593526378821,-81.3883402989106,-42.5340621984423,0.303262641292891,-5.37212054643712,NA,NA,NA,NA,NA,NA,NA
"MANE",73,61,56,"No","Unavg",0,0.702681257287154,0.257283102496481,-4.59639118154385,-123.231622333476,-49.6810677369681,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",73,61,56,"No","Unavg",1.72019722860688,0.297318742712846,0.257716896029203,-4.53964557069264,-123.281542080813,-49.6965140083784,-0.118158886828135,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",73,61,56,"No","Avg",NA,NA,NA,-4.57951964787109,-123.246464409991,-49.6856602029634,-0.0351308516720907,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",73,26,12,"No","Unavg",0,0.467473534534902,0.0184463573071753,-2.57963390914452,NA,NA,-0.810390171918213,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",73,26,12,"No","Unavg",1.06665691909296,0.274242918354165,0.0282455210225464,-2.61968095381854,4.89250523707446,-7.1363500347308,-0.813124135093064,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",73,26,12,"No","Unavg",1.18656947050897,0.258283547110934,0.0211637138214699,-2.58922319317565,4.067886731815,NA,-0.811483883856441,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",73,26,12,"No","Avg",NA,NA,NA,-2.59309328184119,2.39240312861702,-1.95709345992142,-0.81142242975688,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",73,29,14,"No","Unavg",0,1,0.153867684812933,-3.14102964885333,-39.2098281640497,-3.40140684445931,-1.99958291504313,-27.6919666817719,-64.5596603303487,NA,NA,NA,NA,NA,NA
"OPHO",73,29,14,"No","Avg",NA,NA,NA,-3.14102964885333,-39.2098281640497,-3.40140684445931,-1.99958291504313,-27.6919666817719,-64.5596603303487,NA,NA,NA,NA,NA,NA
"PAMY",73,127,111,"Yes","Unavg",0,1,0.0485306797663145,-0.707137431878864,-11.0209281171656,-11.3540567474632,NA,NA,NA,0.690801842203308,-0.309039344045629,NA,NA,NA,NA
"PAMY",73,127,111,"Yes","Avg",NA,NA,NA,-0.707137431878864,-11.0209281171656,-11.3540567474632,NA,NA,NA,0.690801842203308,-0.309039344045629,NA,NA,NA,NA
"POMU",73,20,8,"No","Unavg",0,0.521572206254312,0.227182517861544,-4.26701056490893,-57.4998736416678,NA,-1.0298116987407,NA,NA,NA,NA,NA,NA,NA,NA
"POMU",73,20,8,"No","Unavg",1.5411053221188,0.241361319694228,0.229110128703495,-3.96903066717009,-45.7834394256857,6.48387000757994,-1.0416893032023,NA,NA,NA,NA,NA,NA,NA,NA
"POMU",73,20,8,"No","Unavg",1.57701428119984,0.23706647405146,0.228959291262609,-4.09611908960152,-53.0115971574489,NA,-1.74033301600807,-17.168247171617,NA,NA,NA,NA,NA,NA,NA
"POMU",73,20,8,"No","Avg",NA,NA,NA,-4.15457710405176,-53.6079597365059,1.56495542175532,-1.20111927645134,-4.0700158226192,NA,NA,NA,NA,NA,NA,NA
"PTAQ",73,47,20,"No","Unavg",0,0.644236813725802,0.10344829682078,-2.3236042082039,-30.0193769899508,-14.1568733514503,-0.964658797146962,NA,NA,NA,NA,NA,NA,NA,NA
"PTAQ",73,47,20,"No","Unavg",1.18760215855758,0.355763186274199,0.105257510714543,-2.39414716727232,-33.4563936071485,-14.3531161834572,-0.771249907994911,10.0047186016694,NA,NA,NA,NA,NA,NA,NA
"PTAQ",73,47,20,"No","Avg",NA,NA,NA,-2.34870079609129,-31.2421409729624,-14.2266893266485,-0.895851034488475,3.55931056750666,NA,NA,NA,NA,NA,NA,NA
"RULA",73,18,12,"No","Unavg",0,0.582710796365934,0.179487365860961,-5.42191904011174,75.8562913597536,-58.0765582266142,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",73,18,12,"No","Unavg",0.66782297367925,0.417289203634066,0.184798116224501,-5.2259410592129,76.0401440528647,-58.2197453103189,-0.447207830791525,NA,NA,NA,NA,NA,NA,NA,NA
"RULA",73,18,12,"No","Avg",NA,NA,NA,-5.34013954453265,75.9330111036479,-58.136308650744,-0.186614999569913,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",73,33,21,"No","Unavg",0,0.403256335983074,0.10919639481143,-3.12883915913146,-42.9089743543912,-30.533835192103,-0.502315121998416,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",73,33,21,"No","Unavg",0.954794234590054,0.25017866231502,0.101545695310726,-3.35178730624428,-42.7936515840339,-30.4547629854878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",73,33,21,"No","Unavg",1.49761614683314,0.190711984566081,0.115675690957291,-3.53037638591148,-54.8894061731186,-43.7824649401873,0.226731813550675,22.4573550690253,26.204284204078,NA,NA,NA,NA,NA,NA
"RUPA",73,33,21,"No","Unavg",1.9013181278446,0.155853017135825,0.109451906799774,-3.09917963342314,-41.2920525263583,-30.6320112936086,-0.590216029534994,-4.45542797822615,NA,NA,NA,NA,NA,NA,NA
"RUPA",73,33,21,"No","Avg",NA,NA,NA,-3.25657146316968,-44.9129328407052,-33.0560265268944,-0.251308230444412,3.58849486028103,4.99747104469332,NA,NA,NA,NA,NA,NA
"RUPE",73,23,21,"No","Unavg",0,0.453097107927204,0.0379318664242808,-2.92937121877407,3.65432118763909,-18.3169078808656,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",73,23,21,"No","Unavg",0.391983195435216,0.372454495668168,0.048755756002821,-2.98153307345543,13.7897874138075,-20.0368842870577,-0.0325490335793002,-21.3281151923959,NA,NA,NA,NA,NA,NA,NA
"RUPE",73,23,21,"No","Unavg",1.90895498699348,0.174448396404628,0.0382049974047719,-2.88312494464885,3.65681707586974,-18.3178980661597,-0.0946094693825091,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",73,23,21,"No","Avg",NA,NA,NA,-2.9407315476917,7.42975655296784,-18.9576935620317,-0.028627504104736,-7.9437523875364,NA,NA,NA,NA,NA,NA,NA
"RUSP",73,15,21,"No","Unavg",0,0.349276218689337,0.0491354241459239,-3.18220982317419,-19.4471066246386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",73,15,21,"No","Unavg",0.577906177368732,0.261624423713254,0.0540803731885148,-3.26899864063058,-24.4077676969114,-7.03994706718961,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",73,15,21,"No","Unavg",0.903373881602192,0.222332970636596,0.0529486467251612,-3.37871808877753,-19.4764303279379,NA,0.3637654427925,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",73,15,21,"No","Unavg",1.47853822826352,0.166766386960814,0.0579031297470971,-3.46574943186336,-24.4425908607399,-7.0535880872199,0.364020092792193,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",73,15,21,"No","Avg",NA,NA,NA,-3.29589104007358,-21.5845352021476,-3.01812349484079,0.141583367167087,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",73,48,23,"No","Unavg",0,0.659004190241702,0.152716953301286,-2.62164102965369,38.5734996654146,-24.9743759647803,-0.869517286263355,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",73,48,23,"No","Unavg",1.31771940771648,0.340995809758298,0.154177326131778,-2.56868179044129,35.9618308772384,-25.3784976828729,-1.10033338332606,9.37160437407871,NA,NA,NA,NA,NA,NA,NA
"SOSI",73,48,23,"No","Avg",NA,NA,NA,-2.60358215099428,37.68293155217,-25.1121797772822,-0.948224608186503,3.19567782227337,NA,NA,NA,NA,NA,NA,NA
"SPBE",73,17,28,"No","Unavg",0,0.508843456913391,0.104828602212048,-3.74885304650075,-41.7893828236908,-16.4871888300916,0.554567731896924,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",73,17,28,"No","Unavg",1.04796098844247,0.301316113539478,0.0958330018177516,-3.43726641098205,-41.6406967329163,-16.4230761857462,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPBE",73,17,28,"No","Unavg",1.97191308834823,0.189840429547131,0.104911496525488,-3.71080658494399,-40.2801706518492,-16.4889654407808,0.492611620315345,-2.45800548725136,NA,NA,NA,NA,NA,NA,NA
"SPBE",73,17,28,"No","Avg",NA,NA,NA,-3.64774421585073,-41.4580718217011,-16.4682079298051,0.375705763391623,-0.466628817529004,NA,NA,NA,NA,NA,NA,NA
